track_id,track_title,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
43,Lover,Lover,"Taylor Swift",2019-08-23,221306,84,0.359,0.492,0.543,0.0000158,0.118,-7.582,0.0919,68.534,4
44,"Come Back...Be Here (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,223333,70,0.46,0.0158,0.632,0,0.0822,-6.031,0.0302,79.846,4
45,"The Man",Lover,"Taylor Swift",2019-08-23,190360,79,0.777,0.0767,0.658,0,0.0901,-5.191,0.054,110.048,4
46,"The Archer",Lover,"Taylor Swift",2019-08-23,211240,70,0.292,0.12,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4
47,"Girl At Home (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,220520,63,0.691,0.00955,0.736,0.0000188,0.101,-6.974,0.0326,125.089,4
48,"I Think He Knows",Lover,"Taylor Swift",2019-08-23,173386,71,0.897,0.00889,0.366,0.000353,0.0715,-8.029,0.0569,100.003,4
49,"State Of Grace (Acoustic Version) (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,321640,63,0.445,0.663,0.131,0.00000157,0.108,-13.778,0.0564,208.918,3
50,"Miss Americana & The Heartbreak Prince",Lover,"Taylor Swift",2019-08-23,234146,70,0.662,0.028,0.747,0.00615,0.138,-6.926,0.0736,150.088,4
51,"Ronan (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,264253,60,0.623,0.661,0.279,0,0.193,-10.802,0.031,116.04,4
52,"Paper Rings",Lover,"Taylor Swift",2019-08-23,222400,82,0.811,0.0129,0.719,0.0000136,0.0742,-6.553,0.0497,103.979,4
53,"Better Man (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,297013,69,0.473,0.214,0.579,0,0.0877,-5.824,0.0384,73.942,4
54,"Cornelia Street",Lover,"Taylor Swift",2019-08-23,287266,72,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,102.012,4
55,"Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,258812,74,0.606,0.817,0.377,0,0.154,-9.455,0.0275,101.96,4
56,"Death By A Thousand Cuts",Lover,"Taylor Swift",2019-08-23,198533,71,0.712,0.454,0.732,0,0.319,-6.754,0.0629,94.071,4
57,"London Boy",Lover,"Taylor Swift",2019-08-23,190240,74,0.695,0.0246,0.71,0.000104,0.133,-6.639,0.05,157.925,4
58,"Babe (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,224240,70,0.584,0.0538,0.743,0.00000283,0.121,-7.075,0.0931,167.844,4
59,"Message In A Bottle (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,225960,75,0.622,0.00188,0.791,0.00000372,0.083,-6.106,0.0535,115.915,4
60,"Soon You'll Get Better (feat. The Chicks)",Lover,"Taylor Swift",2019-08-23,201586,65,0.433,0.907,0.182,0,0.123,-12.566,0.0641,207.476,4
61,"If This Was A Movie","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,234546,57,0.515,0.154,0.724,0.00000405,0.269,-3.498,0.0267,147.788,4
62,"I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,285106,75,0.391,0.167,0.715,0,0.183,-4.516,0.0495,149.654,3
63,"False God",Lover,"Taylor Swift",2019-08-23,200306,72,0.739,0.736,0.32,0.000147,0.111,-10.862,0.239,79.97,4
64,"Forever Winter (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,263533,65,0.611,0.256,0.552,0,0.134,-5.828,0.031,116.012,4
65,Superman,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,276266,48,0.582,0.0187,0.817,0.00000194,0.101,-3.718,0.0337,131.983,4
66,"You Need To Calm Down",Lover,"Taylor Swift",2019-08-23,171360,77,0.771,0.00929,0.671,0,0.0637,-5.617,0.0553,85.026,4
67,"Back To December - Acoustic","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,292533,59,0.541,0.731,0.451,0,0.197,-6.522,0.027,141.713,4
68,"Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,240226,73,0.61,0.817,0.488,0,0.312,-6.918,0.0293,125.039,4
69,Afterglow,Lover,"Taylor Swift",2019-08-23,223293,75,0.756,0.13,0.449,0,0.114,-8.746,0.0344,111.011,4
70,"ME! (feat. Brendon Urie of Panic! At The Disco)",Lover,"Taylor Swift",2019-08-23,193000,77,0.61,0.033,0.83,0,0.118,-4.105,0.0571,182.162,4
71,"The Very First Night (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,200280,73,0.678,0.00115,0.733,0,0.104,-5.025,0.0281,121.009,4
72,"Haunted - Acoustic Version","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,217626,48,0.574,0.841,0.462,0,0.28,-5.124,0.0252,80.858,4
73,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,613026,84,0.631,0.274,0.518,0,0.088,-8.771,0.0303,93.023,4
74,"It's Nice To Have A Friend",Lover,"Taylor Swift",2019-08-23,150440,65,0.737,0.971,0.175,0.000337,0.171,-9.912,0.0401,70.008,4
75,"Fearless (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,241591,70,0.569,0.0122,0.741,0,0.333,-4.963,0.0282,100.118,4
76,Daylight,Lover,"Taylor Swift",2019-08-23,293453,71,0.557,0.808,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4
77,"Fifteen (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,294419,66,0.559,0.116,0.646,0,0.32,-4.61,0.0272,95.466,4
78,"Tim McGraw","Taylor Swift","Taylor Swift",2006-10-24,232106,50,0.58,0.575,0.491,0,0.121,-6.462,0.0251,76.009,4
79,"Picture To Burn","Taylor Swift","Taylor Swift",2006-10-24,173066,57,0.658,0.173,0.877,0,0.0962,-2.098,0.0323,105.586,4
80,"Love Story (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,235766,75,0.627,0.13,0.792,0.00000397,0.0845,-4.311,0.031,119.054,4
81,"Teardrops On My Guitar - Radio Single Remix","Taylor Swift","Taylor Swift",2006-10-24,203040,58,0.621,0.288,0.417,0,0.119,-6.941,0.0231,99.953,4
82,"Hey Stephen (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,254254,65,0.788,0.106,0.571,0,0.0934,-6.135,0.0296,115.99,4
83,"White Horse (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,234515,65,0.423,0.369,0.517,0,0.177,-7.377,0.0486,185.262,4
84,"A Place in this World","Taylor Swift","Taylor Swift",2006-10-24,199200,50,0.576,0.051,0.777,0,0.32,-2.881,0.0324,115.028,4
85,"You Belong With Me (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,231124,78,0.632,0.0623,0.773,0,0.0885,-4.856,0.0346,130.033,4
86,"Cold As You","Taylor Swift","Taylor Swift",2006-10-24,239013,52,0.418,0.217,0.482,0,0.123,-5.769,0.0266,175.558,4
87,"Breathe (feat. Colbie Caillat) (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,263377,63,0.506,0.156,0.626,0,0.228,-6.066,0.0287,148.035,4
88,"The Outside","Taylor Swift","Taylor Swift",2006-10-24,207106,49,0.589,0.00491,0.805,0,0.24,-4.055,0.0293,112.982,4
89,"Tell Me Why (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,200575,61,0.578,0.0222,0.909,0,0.333,-3.669,0.0628,100.023,4
90,"Tied Together with a Smile","Taylor Swift","Taylor Swift",2006-10-24,248106,48,0.479,0.525,0.578,0,0.0841,-4.963,0.0294,146.165,4
91,"Stay Beautiful","Taylor Swift","Taylor Swift",2006-10-24,236053,49,0.594,0.0868,0.629,0,0.137,-4.919,0.0246,131.597,4
92,"You're Not Sorry (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,261842,63,0.506,0.0538,0.444,0,0.123,-4.99,0.0285,133.873,4
93,"The Way I Loved You (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,243136,80,0.402,0.0033,0.732,0,0.108,-4.665,0.0484,161.032,4
94,"Should've Said No","Taylor Swift","Taylor Swift",2006-10-24,242200,55,0.476,0.0103,0.777,0,0.196,-3.771,0.0289,167.964,4
95,"Forever & Always (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,225328,67,0.598,0.0231,0.821,0,0.143,-4.433,0.0447,128.03,4
96,"Mary's Song (Oh My My My)","Taylor Swift","Taylor Swift",2006-10-24,213080,51,0.403,0.0177,0.627,0,0.182,-5.28,0.0292,74.9,4
97,"The Best Day (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,245290,60,0.642,0.488,0.576,0,0.159,-8.524,0.0282,125,4
98,"Our Song","Taylor Swift","Taylor Swift",2006-10-24,201106,58,0.668,0.111,0.672,0,0.329,-4.931,0.0303,89.011,4
99,Mine,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,230773,64,0.621,0.00327,0.78,0.00000455,0.184,-2.934,0.0297,121.038,4
100,"Change (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,279359,60,0.499,0.000191,0.815,0,0.181,-4.063,0.0341,95.999,4
101,"Back To December","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,293040,45,0.525,0.113,0.676,0,0.294,-4.684,0.0294,141.95,4
102,"The Story Of Us","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,266480,63,0.546,0.00487,0.809,0.000372,0.0437,-3.621,0.041,139.91,4
103,"Untouchable (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,312107,61,0.393,0.0181,0.531,0,0.169,-6.112,0.0329,200.391,4
104,"Forever & Always (Piano Version) (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,267833,61,0.546,0.819,0.273,0,0.137,-9.208,0.0308,118.753,4
105,"Welcome To New York","1989 (Deluxe)","Taylor Swift",2014-01-01,212600,58,0.789,0.0348,0.634,0.00000164,0.302,-4.762,0.0323,116.992,4
106,"Come In With The Rain (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,237338,59,0.476,0.0406,0.564,0,0.102,-5.677,0.0269,143.929,4
107,"Blank Space","1989 (Deluxe)","Taylor Swift",2014-01-01,231826,84,0.76,0.103,0.703,0,0.0913,-5.412,0.054,95.997,4
108,Style,"1989 (Deluxe)","Taylor Swift",2014-01-01,231000,80,0.588,0.00245,0.791,0.00258,0.118,-5.595,0.0402,94.933,4
109,"Superstar (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,263865,58,0.454,0.157,0.555,0,0.343,-6.69,0.0283,171.862,4
110,"Out Of The Woods","1989 (Deluxe)","Taylor Swift",2014-01-01,235800,68,0.553,0.000743,0.841,0.0000119,0.341,-6.937,0.0396,92.008,4
111,"The Other Side Of The Door (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,238443,64,0.432,0.0279,0.873,0,0.167,-4.367,0.0577,163.936,4
112,"All You Had To Do Was Stay","1989 (Deluxe)","Taylor Swift",2014-01-01,193293,59,0.605,0.00201,0.725,0.0000202,0.101,-5.729,0.0323,96.97,4
113,"Shake It Off","1989 (Deluxe)","Taylor Swift",2014-01-01,219200,81,0.647,0.0647,0.8,0,0.334,-5.384,0.165,160.078,4
114,"I Wish You Would","1989 (Deluxe)","Taylor Swift",2014-01-01,207440,61,0.653,0.0158,0.893,0.0000495,0.102,-5.966,0.0538,118.035,4
115,"Bad Blood","1989 (Deluxe)","Taylor Swift",2014-01-01,211933,59,0.646,0.0885,0.794,0.00000616,0.201,-6.104,0.19,170.216,4
116,"Today Was A Fairytale (Taylor's Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,241822,61,0.482,0.0135,0.779,0,0.296,-5.025,0.0409,158.162,4
117,"Wildest Dreams","1989 (Deluxe)","Taylor Swift",2014-01-01,220440,59,0.55,0.0692,0.688,0.00144,0.106,-7.416,0.0897,139.997,4
118,"You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,220839,61,0.599,0.816,0.494,0,0.101,-7.61,0.0372,142.893,4
119,"How You Get The Girl","1989 (Deluxe)","Taylor Swift",2014-01-01,247533,63,0.765,0.00364,0.656,0.00868,0.0918,-6.112,0.0504,119.997,4
120,"This Love","1989 (Deluxe)","Taylor Swift",2014-01-01,250093,60,0.481,0.678,0.435,0,0.0928,-8.795,0.0321,143.95,4
121,"I Know Places","1989 (Deluxe)","Taylor Swift",2014-01-01,195706,58,0.602,0.245,0.755,0,0.178,-4.991,0.071,159.965,4
122,Clean,"1989 (Deluxe)","Taylor Swift",2014-01-01,271000,65,0.815,0.232,0.377,0,0.1,-7.754,0.0346,103.97,4
123,Wonderland,"1989 (Deluxe)","Taylor Swift",2014-01-01,245560,65,0.422,0.0493,0.692,0.0000257,0.177,-5.447,0.0549,184.014,4
124,"You Are In Love","1989 (Deluxe)","Taylor Swift",2014-01-01,267106,64,0.474,0.707,0.48,0.000108,0.0903,-8.894,0.0622,170.109,4
125,"New Romantics","1989 (Deluxe)","Taylor Swift",2014-01-01,230466,69,0.633,0.00463,0.889,0.000458,0.0658,-5.87,0.0715,121.956,4
126,"Love Story (Taylor's Version)","Love Story (Taylor's Version)","Taylor Swift",2021-02-12,235766,73,0.626,0.135,0.79,0.00000397,0.0989,-4.302,0.0311,119.082,4
127,willow,"evermore (deluxe version)","Taylor Swift",2021-01-07,214706,65,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,81.112,4
128,"champagne problems","evermore (deluxe version)","Taylor Swift",2021-01-07,244000,67,0.462,0.92,0.24,0,0.113,-12.077,0.0377,171.319,4
