,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,189495,65,0.588,0.225,0.608,0.0,0.092,-7.062,0.0365,90.201,4
1,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,208608,64,0.563,0.514,0.473,1.2e-05,0.109,-11.548,0.0503,101.934,4
2,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,242157,62,0.624,0.334,0.624,0.0,0.0995,-7.86,0.0539,80.132,4
3,...Ready For It?,reputation,Taylor Swift,2017-11-10,208186,74,0.613,0.0527,0.764,0.0,0.197,-6.509,0.136,160.015,4
4,End Game,reputation,Taylor Swift,2017-11-10,244826,73,0.649,0.00845,0.589,0.0,0.108,-6.237,0.0558,159.073,4
5,I Did Something Bad,reputation,Taylor Swift,2017-11-10,238253,75,0.696,0.0679,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,4
6,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,88,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4
7,Delicate,reputation,Taylor Swift,2017-11-10,232253,77,0.75,0.216,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
8,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,79,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,128.07,4
9,So It Goes...,reputation,Taylor Swift,2017-11-10,227906,66,0.574,0.122,0.61,1.1e-06,0.13,-7.283,0.0732,74.957,4
10,Gorgeous,reputation,Taylor Swift,2017-11-10,209680,76,0.8,0.0713,0.535,9.48e-06,0.213,-6.684,0.135,92.027,4
11,Getaway Car,reputation,Taylor Swift,2017-11-10,233626,79,0.562,0.00465,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,4
12,King Of My Heart,reputation,Taylor Swift,2017-11-10,214320,71,0.675,0.00882,0.703,2.21e-06,0.0391,-7.902,0.0382,110.01,4
13,Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,211506,70,0.624,0.0604,0.691,1.1e-05,0.138,-6.686,0.196,160.024,4
14,Dress,reputation,Taylor Swift,2017-11-10,230373,72,0.719,0.0329,0.469,0.0,0.169,-8.792,0.0533,120.085,4
15,This Is Why We Can't Have Nice Things,reputation,Taylor Swift,2017-11-10,207133,69,0.567,0.0156,0.789,0.0,0.382,-5.986,0.115,163.96,4
16,Call It What You Want,reputation,Taylor Swift,2017-11-10,203506,72,0.598,0.186,0.504,0.000221,0.34,-9.874,0.0731,163.954,4
17,New Year’s Day,reputation,Taylor Swift,2017-11-10,235466,67,0.661,0.921,0.151,0.0,0.13,-12.864,0.0354,94.922,4
18,Mine - POP Mix,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230546,49,0.696,0.00461,0.768,1.21e-06,0.101,-3.863,0.0308,121.05,4
19,Sparks Fly,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,260946,57,0.608,0.0387,0.785,0.0,0.158,-2.976,0.0311,114.985,4
20,Back To December,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,66,0.517,0.0202,0.606,0.0,0.324,-5.797,0.0289,141.929,4
