,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
21,Speak Now,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,240773,55,0.708,0.101,0.601,0.0,0.0979,-3.75,0.0306,118.962,4
22,Dear John,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,403887,58,0.583,0.183,0.468,1.65e-06,0.111,-5.378,0.0278,119.375,3
23,Mean,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,237746,59,0.57,0.445,0.747,0.0,0.219,-3.978,0.0426,164.004,4
24,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,265636,52,0.575,0.000315,0.855,0.00161,0.0419,-4.827,0.0467,139.92,4
25,Never Grow Up,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,290480,50,0.715,0.829,0.308,0.0,0.16,-8.829,0.0305,124.899,4
26,Enchanted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,352200,73,0.535,0.0716,0.618,0.000388,0.169,-3.913,0.0273,81.975,4
27,Better Than Revenge,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,217173,59,0.519,0.0167,0.917,2.06e-05,0.359,-3.185,0.0887,145.882,4
28,Innocent,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,302266,49,0.553,0.202,0.604,0.0,0.125,-5.295,0.0258,133.989,4
29,Haunted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,242093,53,0.434,0.0769,0.944,0.0,0.151,-2.641,0.0581,162.02,4
30,Last Kiss,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,367146,55,0.359,0.581,0.329,3.75e-05,0.0979,-9.531,0.0293,84.358,3
31,Long Live,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,317960,53,0.412,0.0426,0.682,7.47e-05,0.106,-4.319,0.0339,203.959,4
32,Ours,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,238173,56,0.61,0.505,0.556,0.0,0.0851,-7.369,0.0285,159.838,4
33,If This Was A Movie,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,234546,57,0.515,0.154,0.724,4.05e-06,0.269,-3.498,0.0267,147.788,4
34,Superman,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,276266,48,0.582,0.0187,0.817,1.94e-06,0.101,-3.718,0.0337,131.983,4
35,Back To December - Acoustic,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,292533,59,0.541,0.731,0.451,0.0,0.197,-6.522,0.027,141.713,4
36,Haunted - Acoustic Version,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,217626,48,0.574,0.841,0.462,0.0,0.28,-5.124,0.0252,80.858,4
37,Mine,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230773,64,0.621,0.00327,0.78,4.55e-06,0.184,-2.934,0.0297,121.038,4
38,Back To December,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,45,0.525,0.113,0.676,0.0,0.294,-4.684,0.0294,141.95,4
39,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,266480,63,0.546,0.00487,0.809,0.000372,0.0437,-3.621,0.041,139.91,4
40,Welcome To New York,1989 (Deluxe),Taylor Swift,2014-01-01,212600,58,0.789,0.0348,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,4
41,Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,231826,84,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4
42,Style,1989 (Deluxe),Taylor Swift,2014-01-01,231000,80,0.588,0.00245,0.791,0.00258,0.118,-5.595,0.0402,94.933,4
43,Out Of The Woods,1989 (Deluxe),Taylor Swift,2014-01-01,235800,68,0.553,0.000743,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,4
44,All You Had To Do Was Stay,1989 (Deluxe),Taylor Swift,2014-01-01,193293,59,0.605,0.00201,0.725,2.02e-05,0.101,-5.729,0.0323,96.97,4
45,Shake It Off,1989 (Deluxe),Taylor Swift,2014-01-01,219200,81,0.647,0.0647,0.8,0.0,0.334,-5.384,0.165,160.078,4
46,I Wish You Would,1989 (Deluxe),Taylor Swift,2014-01-01,207440,61,0.653,0.0158,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,4
47,Bad Blood,1989 (Deluxe),Taylor Swift,2014-01-01,211933,59,0.646,0.0885,0.794,6.16e-06,0.201,-6.104,0.19,170.216,4
48,Wildest Dreams,1989 (Deluxe),Taylor Swift,2014-01-01,220440,59,0.55,0.0692,0.688,0.00144,0.106,-7.416,0.0897,139.997,4
49,How You Get The Girl,1989 (Deluxe),Taylor Swift,2014-01-01,247533,63,0.765,0.00364,0.656,0.00868,0.0918,-6.112,0.0504,119.997,4
50,This Love,1989 (Deluxe),Taylor Swift,2014-01-01,250093,60,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,143.95,4
51,I Know Places,1989 (Deluxe),Taylor Swift,2014-01-01,195706,58,0.602,0.245,0.755,0.0,0.178,-4.991,0.071,159.965,4
52,Clean,1989 (Deluxe),Taylor Swift,2014-01-01,271000,65,0.815,0.232,0.377,0.0,0.1,-7.754,0.0346,103.97,4
53,Wonderland,1989 (Deluxe),Taylor Swift,2014-01-01,245560,65,0.422,0.0493,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,4
54,You Are In Love,1989 (Deluxe),Taylor Swift,2014-01-01,267106,64,0.474,0.707,0.48,0.000108,0.0903,-8.894,0.0622,170.109,4
55,New Romantics,1989 (Deluxe),Taylor Swift,2014-01-01,230466,69,0.633,0.00463,0.889,0.000458,0.0658,-5.87,0.0715,121.956,4
56,Love Story (Taylor’s Version),Love Story (Taylor’s Version),Taylor Swift,2021-02-12,235766,73,0.626,0.135,0.79,3.97e-06,0.0989,-4.302,0.0311,119.082,4
57,willow,evermore (deluxe version),Taylor Swift,2021-01-07,214706,65,0.392,0.833,0.574,0.00179,0.145,-9.195,0.17,81.112,4
58,champagne problems,evermore (deluxe version),Taylor Swift,2021-01-07,244000,67,0.462,0.92,0.24,0.0,0.113,-12.077,0.0377,171.319,4
59,gold rush,evermore (deluxe version),Taylor Swift,2021-01-07,185320,64,0.512,0.83,0.462,0.166,0.121,-10.491,0.0408,112.05,4
60,‘tis the damn season,evermore (deluxe version),Taylor Swift,2021-01-07,229840,63,0.575,0.735,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,4
61,tolerate it,evermore (deluxe version),Taylor Swift,2021-01-07,245440,63,0.316,0.878,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,5
62,"no body, no crime (feat. HAIM)",evermore (deluxe version),Taylor Swift,2021-01-07,215626,63,0.546,0.418,0.613,0.0,0.103,-7.589,0.0264,79.015,4
63,happiness,evermore (deluxe version),Taylor Swift,2021-01-07,315146,62,0.559,0.87,0.334,0.0,0.114,-10.733,0.0376,122.079,4
64,dorothea,evermore (deluxe version),Taylor Swift,2021-01-07,225880,61,0.605,0.696,0.488,0.0,0.129,-8.322,0.0264,119.966,4
65,coney island (feat. The National),evermore (deluxe version),Taylor Swift,2021-01-07,275320,62,0.537,0.819,0.537,0.000904,0.142,-11.266,0.0617,107.895,4
66,ivy,evermore (deluxe version),Taylor Swift,2021-01-07,260440,63,0.515,0.855,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,4
67,cowboy like me,evermore (deluxe version),Taylor Swift,2021-01-07,275040,62,0.604,0.768,0.517,0.000155,0.123,-9.014,0.0347,127.967,4
68,long story short,evermore (deluxe version),Taylor Swift,2021-01-07,215920,62,0.546,0.66,0.73,0.179,0.0972,-7.704,0.0417,157.895,4
69,marjorie,evermore (deluxe version),Taylor Swift,2021-01-07,257773,60,0.535,0.876,0.561,0.000136,0.115,-11.609,0.0484,96.103,4
70,closure,evermore (deluxe version),Taylor Swift,2021-01-07,180653,59,0.689,0.835,0.704,4.83e-06,0.134,-10.813,0.245,151.884,5
71,evermore (feat. Bon Iver),evermore (deluxe version),Taylor Swift,2021-01-07,304106,61,0.39,0.937,0.27,0.00227,0.111,-10.673,0.0308,125.177,5
72,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,76,0.581,0.769,0.619,0.000106,0.117,-6.524,0.0282,137.915,4
73,it’s time to go - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,254640,66,0.592,0.801,0.41,1.39e-05,0.09,-12.426,0.0397,151.923,4
74,I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,Taylor Swift,2017-11-09,247160,79,0.731,0.0586,0.445,1.96e-05,0.14,-8.418,0.0533,117.97,4
75,This Love (Taylor’s Version),This Love (Taylor’s Version),Taylor Swift,2022-05-06,250100,81,0.47,0.302,0.494,0.0,0.0672,-8.672,0.0349,144.039,4
76,Wildest Dreams (Taylor's Version),This Love (Taylor’s Version),Taylor Swift,2022-05-06,220433,65,0.587,0.0354,0.663,9.06e-05,0.0902,-7.423,0.0599,139.99,4
